code,Schooling_profile,First_Name,Surname,Gender,Age,Civil_Status,degree,Skill_experience,performance,Language,Religious_affiliation,Interest_Hobbies,Network,school1
407,"Belington College after a three-year degree program in Worcester, UK",Auta,William,female,20-25,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,1
408,University of Ibadan,Olisa,Edward,female,26-30,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
409,"Belington College after a three-year degree program in Worcester, UK",Olisa,Benedict,male,31-40,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,1
410,"Willfield College after a four-year program in Chichester, USA",Yalwa,Edward,female,31-40,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,1
411,University of Ibadan,Olisa,Benedict,male,20-25,single,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
412,"Willfield College after a four-year program in Chichester, USA",Olisa,Edward,male,20-25,single,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,1
413,"Willfield College after a four-year program in Chichester, USA",Amadi,William,male,20-25,single,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,1
414,Covenant University,Kaka,William,female,26-30,single,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
415,"Belington College after a three-year degree program in Worcester, UK",Opeyemi,George,female,31-40,single,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,1
416,Covenant University,Auta,George,female,31-40,single,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
417,"Belington College after a three-year degree program in Worcester, UK",Mayowa,Benedict,female,31-40,single,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,1
418,"Ahmadu Bello University, Zaira",Kaka,Benedict,female,31-40,single,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
419,Covenant University,Amadi,Edward,female,31-40,single,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
420,"Ahmadu Bello University, Zaira",Kaka,William,female,31-40,single,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
421,"Ahmadu Bello University, Zaira",Yalwa,Sawaba,female,26-30,married,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
422,University of Ibadan,Kaka,Sawaba,female,26-30,married,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
423,"University of Nigeria, Nsukka",Yalwa,William,male,31-40,married,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
424,Covenant University,Auta,Edward,female,31-40,married,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
425,University of Ibadan,Mayowa,Benedict,male,20-25,single,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
426,"Willfield College after a four-year program in Chichester, USA",Olisa,Edward,male,20-25,single,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,1
427,"University of Nigeria, Nsukka",Mayowa,Edward,female,20-25,single,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
428,"Ahmadu Bello University, Zaira",Mayowa,Edward,male,20-25,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
429,Covenant University,Amadi,Edward,male,20-25,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
430,"University of Nigeria, Nsukka",Mayowa,Sawaba,male,20-25,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
431,"University of Nigeria, Nsukka",Amadi,Sawaba,male,20-25,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
432,"University of Nigeria, Nsukka",Opeyemi,William,male,20-25,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
433,University of Ibadan,Olisa,Benedict,male,26-30,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
434,University of Ibadan,Yalwa,Sawaba,male,26-30,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
435,"Belington College after a three-year degree program in Worcester, UK",Opeyemi,William,male,26-30,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,1
436,University of Ibadan,Kaka,Benedict,female,26-30,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
437,"Belington College after a three-year degree program in Worcester, UK",Olisa,Sawaba,female,31-40,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,1
438,University of Ibadan,Olisa,Sawaba,male,20-25,single,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
439,"University of Nigeria, Nsukka",Mayowa,Edward,female,26-30,single,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
440,"University of Nigeria, Nsukka",Kaka,Edward,male,31-40,single,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
441,Covenant University,Yalwa,Edward,female,31-40,single,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
442,"Willfield College after a four-year program in Chichester, USA",Yalwa,Sawaba,female,31-40,single,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,1
443,"Ahmadu Bello University, Zaira",Amadi,Sawaba,male,20-25,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
444,"Willfield College after a four-year program in Chichester, USA",Amadi,George,female,20-25,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,1
445,"University of Nigeria, Nsukka",Mayowa,William,male,26-30,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
446,"Willfield College after a four-year program in Chichester, USA",Opeyemi,Edward,female,26-30,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,1
447,"Willfield College after a four-year program in Chichester, USA",Opeyemi,Benedict,male,31-40,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,1
448,"Belington College after a three-year degree program in Worcester, UK",Auta,Benedict,male,31-40,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,1
449,"Belington College after a three-year degree program in Worcester, UK",Olisa,George,male,20-25,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,1
450,"Belington College after a three-year degree program in Worcester, UK",Opeyemi,Benedict,female,20-25,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,1
451,"Ahmadu Bello University, Zaira",Opeyemi,Edward,female,20-25,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
452,"University of Nigeria, Nsukka",Amadi,Sawaba,female,20-25,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
453,"Belington College after a three-year degree program in Worcester, UK",Auta,Benedict,female,26-30,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,1
454,"University of Nigeria, Nsukka",Amadi,Edward,female,26-30,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
455,"Willfield College after a four-year program in Chichester, USA",Amadi,George,male,20-25,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,1
456,"Willfield College after a four-year program in Chichester, USA",Mayowa,Sawaba,male,20-25,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,1
457,"University of Nigeria, Nsukka",Auta,Sawaba,male,26-30,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
458,"Willfield College after a four-year program in Chichester, USA",Amadi,Sawaba,female,26-30,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,1
459,"Belington College after a three-year degree program in Worcester, UK",Opeyemi,Benedict,male,31-40,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,1
460,"Ahmadu Bello University, Zaira",Mayowa,George,female,31-40,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
461,"University of Nigeria, Nsukka",Yalwa,George,male,31-40,single,Masters',has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
462,"Belington College after a three-year degree program in Worcester, UK",Mayowa,Sawaba,male,20-25,married,Masters',has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,1
463,Covenant University,Auta,William,male,26-30,married,Masters',has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
464,"Willfield College after a four-year program in Chichester, USA",Mayowa,Sawaba,male,31-40,married,Masters',has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,1
465,"Ahmadu Bello University, Zaira",Amadi,Edward,female,31-40,married,Masters',has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
466,"University of Nigeria, Nsukka",Auta,Edward,male,20-25,single,Bachelor's,has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
467,"University of Nigeria, Nsukka",Olisa,George,male,31-40,single,Bachelor's,has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
468,Covenant University,Kaka,Benedict,female,20-25,married,Bachelor's,has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
469,"Ahmadu Bello University, Zaira",Amadi,Benedict,female,20-25,married,Bachelor's,has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
470,University of Ibadan,Yalwa,Edward,female,20-25,married,Bachelor's,has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
471,"Willfield College after a four-year program in Chichester, USA",Kaka,Sawaba,female,20-25,married,Bachelor's,has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,1
472,Covenant University,Auta,Sawaba,male,26-30,married,Bachelor's,has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
473,"Belington College after a three-year degree program in Worcester, UK",Olisa,Benedict,male,31-40,married,Bachelor's,has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,1
474,Covenant University,Amadi,Benedict,female,31-40,married,Bachelor's,has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
475,"Ahmadu Bello University, Zaira",Mayowa,George,male,20-25,single,Masters',"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
476,Covenant University,Opeyemi,George,female,20-25,single,Masters',"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
477,University of Ibadan,Amadi,William,female,20-25,single,Masters',"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
478,"Willfield College after a four-year program in Chichester, USA",Opeyemi,Edward,male,31-40,single,Masters',"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,1
479,Covenant University,Kaka,William,male,31-40,single,Masters',"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
480,"Belington College after a three-year degree program in Worcester, UK",Auta,Edward,female,31-40,single,Masters',"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,1
481,University of Ibadan,Olisa,Sawaba,male,20-25,married,Masters',"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
482,"Ahmadu Bello University, Zaira",Yalwa,George,female,20-25,married,Masters',"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
483,"Ahmadu Bello University, Zaira",Mayowa,Benedict,female,20-25,married,Masters',"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
484,"University of Nigeria, Nsukka",Olisa,William,female,20-25,married,Masters',"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
485,University of Ibadan,Kaka,George,male,26-30,married,Masters',"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
486,"Willfield College after a four-year program in Chichester, USA",Opeyemi,George,male,31-40,married,Masters',"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,1
487,"Willfield College after a four-year program in Chichester, USA",Amadi,George,male,31-40,married,Masters',"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,1
488,"Ahmadu Bello University, Zaira",Amadi,Sawaba,male,31-40,married,Masters',"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
489,Covenant University,Mayowa,William,female,31-40,married,Masters',"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
490,University of Ibadan,Amadi,Benedict,female,20-25,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
491,"University of Nigeria, Nsukka",Olisa,George,female,31-40,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
492,University of Ibadan,Olisa,William,female,31-40,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
493,"University of Nigeria, Nsukka",Kaka,Edward,male,20-25,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
494,Covenant University,Yalwa,Sawaba,male,20-25,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
495,"University of Nigeria, Nsukka",Auta,George,male,31-40,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
496,"University of Nigeria, Nsukka",Yalwa,Edward,male,31-40,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
497,University of Ibadan,Opeyemi,Sawaba,male,31-40,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,0
498,"Willfield College after a four-year program in Chichester, USA",Kaka,Sawaba,female,31-40,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing football,member of,1
499,Covenant University,Auta,Sawaba,male,20-25,single,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,0
500,"Belington College after a three-year degree program in Worcester, UK",Yalwa,William,male,20-25,single,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,1
501,"Belington College after a three-year degree program in Worcester, UK",Amadi,George,female,20-25,single,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,1
502,"Ahmadu Bello University, Zaira",Olisa,Edward,male,26-30,single,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,0
503,Covenant University,Mayowa,Benedict,male,20-25,married,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,0
504,"Ahmadu Bello University, Zaira",Opeyemi,William,male,20-25,married,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,0
505,"Ahmadu Bello University, Zaira",Amadi,William,male,20-25,married,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,0
506,"Ahmadu Bello University, Zaira",Amadi,William,female,20-25,married,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,0
507,"University of Nigeria, Nsukka",Auta,Edward,male,26-30,married,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,0
508,"University of Nigeria, Nsukka",Opeyemi,Sawaba,female,20-25,single,Bachelor's,has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,0
509,"Ahmadu Bello University, Zaira",Auta,Edward,female,26-30,single,Bachelor's,has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,0
510,Covenant University,Mayowa,Sawaba,female,26-30,single,Bachelor's,has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,0
511,"Willfield College after a four-year program in Chichester, USA",Olisa,Sawaba,female,26-30,single,Bachelor's,has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,1
512,Covenant University,Olisa,Sawaba,female,31-40,single,Bachelor's,has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,0
513,"Willfield College after a four-year program in Chichester, USA",Opeyemi,Sawaba,male,20-25,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,1
514,University of Ibadan,Opeyemi,George,female,20-25,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,0
515,"Willfield College after a four-year program in Chichester, USA",Olisa,George,female,31-40,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,1
516,"University of Nigeria, Nsukka",Mayowa,Benedict,female,31-40,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,0
517,University of Ibadan,Yalwa,Benedict,male,26-30,single,Masters',"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,0
518,"Willfield College after a four-year program in Chichester, USA",Amadi,William,male,26-30,single,Masters',"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,1
519,"University of Nigeria, Nsukka",Yalwa,George,female,26-30,single,Masters',"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,0
520,Covenant University,Amadi,George,female,26-30,single,Masters',"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,0
521,"Belington College after a three-year degree program in Worcester, UK",Mayowa,Edward,female,26-30,single,Masters',"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,1
522,"Ahmadu Bello University, Zaira",Auta,Edward,female,26-30,single,Masters',"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,0
523,"Willfield College after a four-year program in Chichester, USA",Opeyemi,William,male,31-40,single,Masters',"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,1
524,University of Ibadan,Yalwa,George,female,31-40,single,Masters',"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,0
525,"Belington College after a three-year degree program in Worcester, UK",Auta,Benedict,female,31-40,single,Masters',"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,1
526,Covenant University,Auta,Edward,male,26-30,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,0
527,"Willfield College after a four-year program in Chichester, USA",Yalwa,William,female,26-30,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,1
528,University of Ibadan,Olisa,Edward,female,31-40,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,0
529,"Willfield College after a four-year program in Chichester, USA",Yalwa,William,female,31-40,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,1
530,"University of Nigeria, Nsukka",Amadi,Sawaba,male,20-25,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,0
531,Covenant University,Auta,Edward,male,26-30,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,0
532,"Ahmadu Bello University, Zaira",Auta,Sawaba,male,26-30,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,0
533,"Belington College after a three-year degree program in Worcester, UK",Mayowa,Benedict,female,31-40,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,1
534,"Willfield College after a four-year program in Chichester, USA",Kaka,Edward,female,31-40,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,1
535,"Belington College after a three-year degree program in Worcester, UK",Olisa,George,male,20-25,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,1
536,"Willfield College after a four-year program in Chichester, USA",Olisa,George,male,20-25,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,1
537,University of Ibadan,Auta,William,male,20-25,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,0
538,"Belington College after a three-year degree program in Worcester, UK",Yalwa,Benedict,female,26-30,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,1
539,"Ahmadu Bello University, Zaira",Mayowa,George,female,31-40,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,0
540,"Belington College after a three-year degree program in Worcester, UK",Amadi,Edward,female,31-40,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,1
541,"Belington College after a three-year degree program in Worcester, UK",Mayowa,Sawaba,male,20-25,single,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,1
542,"Willfield College after a four-year program in Chichester, USA",Opeyemi,William,male,20-25,single,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,1
543,"Belington College after a three-year degree program in Worcester, UK",Yalwa,George,female,20-25,single,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,1
544,"Belington College after a three-year degree program in Worcester, UK",Olisa,George,female,20-25,single,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,1
545,"University of Nigeria, Nsukka",Kaka,William,female,20-25,single,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,0
546,University of Ibadan,Auta,William,male,26-30,single,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,0
547,"Willfield College after a four-year program in Chichester, USA",Amadi,Benedict,female,31-40,single,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,1
548,"Ahmadu Bello University, Zaira",Kaka,George,male,20-25,married,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing tennis,member of,0
